region,tier,patch,n_matches,reference_weight
KR,GOLD,15.17,715,0.005383854484724447
KR,GOLD,15.18,796,0.005962821260713568
KR,GOLD,15.19,1096,0.007402677977411029
KR,GOLD,15.20,996,0.00809870627508287
KR,GOLD,15.21,918,0.008540125763094795
KR,GOLD,15.22,1226,0.01233877214169907
KR,GOLD,15.23,1816,0.016694436260976955
KR,GOLD,15.24,6906,0.0681390729898098
KR,GOLD,15.3,263,0.002533894188090551
KR,GOLD,15.4,260,0.0024626817624002293
KR,GOLD,15.8,258,0.002169540201853084
KR,GOLD,15.9,240,0.0025153594471574534
KR,GOLD,16.1,10805,0.11492222237396864
KR,GOLD,16.2,13555,0.13776190076694808
KR,GOLD,16.3,19591,0.18221503811328044
KR,GOLD,16.4,23940,0.21594143802275287
KR,GOLD,16.5,24197,0.16976798406402485
KR,PLATINUM,14.24,212,0.0039015629664170006
KR,PLATINUM,15.1,131,0.0027124130086566994
KR,PLATINUM,15.10,239,0.0028021601752801183
KR,PLATINUM,15.11,312,0.003078230263915201
KR,PLATINUM,15.12,470,0.0037796238813308336
KR,PLATINUM,15.13,431,0.005731136999049851
KR,PLATINUM,15.14,464,0.005090712924177301
KR,PLATINUM,15.15,421,0.004807814246777394
KR,PLATINUM,15.16,510,0.005245819440406906
KR,PLATINUM,15.17,460,0.005383854484724447
KR,PLATINUM,15.18,516,0.005962821260713568
KR,PLATINUM,15.19,630,0.007402677977411029
KR,PLATINUM,15.20,742,0.00809870627508287
KR,PLATINUM,15.21,547,0.008540125763094795
KR,PLATINUM,15.22,794,0.01233877214169907
KR,PLATINUM,15.23,1277,0.016694436260976955
KR,PLATINUM,15.24,4822,0.0681390729898098
KR,PLATINUM,15.3,181,0.002533894188090551
KR,PLATINUM,15.4,195,0.0024626817624002293
KR,PLATINUM,15.8,223,0.002169540201853084
KR,PLATINUM,15.9,240,0.0025153594471574534
KR,PLATINUM,16.1,9045,0.11492222237396864
KR,PLATINUM,16.2,11728,0.13776190076694808
KR,PLATINUM,16.3,17409,0.18221503811328044
KR,PLATINUM,16.4,20732,0.21594143802275287
KR,PLATINUM,16.5,22558,0.16976798406402485
KR,EMERALD,14.24,157,0.0039015629664170006
KR,EMERALD,15.1,132,0.0027124130086566994
KR,EMERALD,15.10,223,0.0028021601752801183
KR,EMERALD,15.11,209,0.003078230263915201
KR,EMERALD,15.12,243,0.0037796238813308336
KR,EMERALD,15.13,393,0.005731136999049851
KR,EMERALD,15.14,301,0.005090712924177301
KR,EMERALD,15.15,357,0.004807814246777394
KR,EMERALD,15.16,343,0.005245819440406906
KR,EMERALD,15.17,393,0.005383854484724447
KR,EMERALD,15.18,353,0.005962821260713568
KR,EMERALD,15.19,510,0.007402677977411029
KR,EMERALD,15.20,574,0.00809870627508287
KR,EMERALD,15.21,479,0.008540125763094795
KR,EMERALD,15.22,666,0.01233877214169907
KR,EMERALD,15.23,1046,0.016694436260976955
KR,EMERALD,15.24,4449,0.0681390729898098
KR,EMERALD,15.3,146,0.002533894188090551
KR,EMERALD,15.4,135,0.0024626817624002293
KR,EMERALD,15.8,196,0.002169540201853084
KR,EMERALD,15.9,154,0.0025153594471574534
KR,EMERALD,16.1,10554,0.11492222237396864
KR,EMERALD,16.2,13133,0.13776190076694808
KR,EMERALD,16.3,16180,0.18221503811328044
KR,EMERALD,16.4,19669,0.21594143802275287
KR,EMERALD,16.5,19308,0.16976798406402485
KR,DIAMOND,14.24,52,0.0039015629664170006
KR,DIAMOND,15.1,35,0.0027124130086566994
KR,DIAMOND,15.10,84,0.0028021601752801183
KR,DIAMOND,15.11,115,0.003078230263915201
KR,DIAMOND,15.12,132,0.0037796238813308336
KR,DIAMOND,15.13,166,0.005731136999049851
KR,DIAMOND,15.14,99,0.005090712924177301
KR,DIAMOND,15.15,121,0.004807814246777394
KR,DIAMOND,15.16,177,0.005245819440406906
KR,DIAMOND,15.17,184,0.005383854484724447
KR,DIAMOND,15.18,153,0.005962821260713568
KR,DIAMOND,15.19,216,0.007402677977411029
KR,DIAMOND,15.20,227,0.00809870627508287
KR,DIAMOND,15.21,205,0.008540125763094795
KR,DIAMOND,15.22,268,0.01233877214169907
KR,DIAMOND,15.23,478,0.016694436260976955
KR,DIAMOND,15.24,2113,0.0681390729898098
KR,DIAMOND,15.3,57,0.002533894188090551
KR,DIAMOND,15.4,35,0.0024626817624002293
KR,DIAMOND,15.8,70,0.002169540201853084
KR,DIAMOND,15.9,54,0.0025153594471574534
KR,DIAMOND,16.1,9433,0.11492222237396864
KR,DIAMOND,16.2,16142,0.13776190076694808
KR,DIAMOND,16.3,20900,0.18221503811328044
KR,DIAMOND,16.4,19284,0.21594143802275287
KR,DIAMOND,16.5,17643,0.16976798406402485
