measure,contrast,type,estimate,ci_low,ci_high,se,family,log10_p,log10_p_holm,p_value,p_holm
command_pings_pm,NA EMERALD,local_change,-0.00756709079166118,-0.10376348572957964,0.08973260622988044,0.05064676413334583,local_change_nine_signals,-0.05491034230111316,0.0,8.8123077946e-1,1.0000000000e+0
command_pings_pm,EUW Diamond-Iron,endpoint,0.9692126764287476,0.9142214164315154,1.0269471703288802,0.029118108867253766,endpoint_nine_signals,-242.20438279942115,-240.94911029431785,6.2462189069e-243,1.1243194032e-241
command_pings_pm,EUW BRONZE-IRON,adjacent,0.15944556354060668,0.11286403846086736,0.20899815188516202,0.0254408057556431,adjacent_nine_signals,-9.4349497918383,-7.389626813051642,3.6732476393e-10,4.0773048796e-8
command_pings_pm,EUW SILVER-BRONZE,adjacent,0.19494878809674066,0.1437301882692623,0.2433963105705108,0.025242034236938108,adjacent_nine_signals,-13.945148535075802,-11.851726849913566,1.1346226917e-14,1.4069321377e-12
command_pings_pm,EUW GOLD-SILVER,adjacent,0.15449826546606205,0.1017370262665307,0.20481618461611964,0.026163794258623696,adjacent_nine_signals,-8.452766878974488,-6.440560597334067,3.5256006780e-9,3.6260968760e-7
command_pings_pm,EUW PLATINUM-GOLD,adjacent,0.09726964582174369,0.04349358008078575,0.14565024074675814,0.026555762602841013,adjacent_nine_signals,-3.603052446030247,-1.7968724720463598,2.4942934943e-4,1.5963478363e-2
command_pings_pm,EUW EMERALD-PLATINUM,adjacent,0.16727794207394608,0.11319573950808946,0.21867230087371536,0.027527751768475807,adjacent_nine_signals,-8.911228007282855,-6.88332520684771,1.2267949871e-9,1.3082019530e-7
command_pings_pm,EUW DIAMOND-EMERALD,adjacent,0.1957724714296485,0.1371293376023537,0.251687110747521,0.029969848309530478,adjacent_nine_signals,-10.18868624885108,-8.127988408497469,6.4761030555e-11,7.4475185138e-9
command_pings_pm,EUW BRONZE,local_change,0.03550322455613397,-0.05423775283782272,0.11471711929614863,0.04350805474374654,local_change_nine_signals,-0.3824843016354753,0.0,4.1449156632e-1,1.0000000000e+0
command_pings_pm,EUW SILVER,local_change,-0.04045052263067861,-0.13083154853265924,0.050195620965103716,0.04456910650095529,local_change_nine_signals,-0.43878609715943223,0.0,3.6409431916e-1,1.0000000000e+0
command_pings_pm,EUW GOLD,local_change,-0.05722861964431836,-0.14780934364102583,0.030242421012397856,0.045716731457350494,local_change_nine_signals,-0.6764603086176948,0.0,2.1063943994e-1,1.0000000000e+0
command_pings_pm,EUW PLATINUM,local_change,0.0700082962522024,-0.021695757856385167,0.16170210065113258,0.046514296714094135,local_change_nine_signals,-0.8784387659848804,0.0,1.3230042339e-1,1.0000000000e+0
command_pings_pm,EUW EMERALD,local_change,0.028494529355702403,-0.06845538912166466,0.12312581503193433,0.04964408012693497,local_change_nine_signals,-0.24719601037441538,0.0,5.6598378560e-1,1.0000000000e+0
command_pings_pm,KR Diamond-Iron,endpoint,1.8184906116574906,1.7462162336724734,1.888306330980875,0.03662305898084383,endpoint_nine_signals,-537.180437523914,-535.8380148430917,6.6002817678e-538,1.4520619889e-536
command_pings_pm,KR BRONZE-IRON,adjacent,0.28536845913430153,0.23046125864061906,0.33711838256615345,0.027607391579131384,adjacent_nine_signals,-24.317884401086257,-22.1655960567032,4.8096735354e-25,6.8297364203e-23
command_pings_pm,KR SILVER-BRONZE,adjacent,0.40735970448248726,0.35435602668539623,0.4603964964540721,0.028205912926748157,adjacent_nine_signals,-46.55265551518965,-44.36513479435319,2.8012023680e-47,4.3138516467e-45
command_pings_pm,KR GOLD-SILVER,adjacent,0.3151281774162227,0.24966448223902984,0.37513502077066646,0.03317711930027348,adjacent_nine_signals,-20.671162788117922,-18.537623879747706,2.1322455263e-21,2.8998539158e-19
command_pings_pm,KR PLATINUM-GOLD,adjacent,0.28782132141314687,0.21952157935680783,0.35490890546017645,0.03716551392042174,adjacent_nine_signals,-14.01727184262788,-11.920361829619823,9.6101055438e-15,1.2012631930e-12
command_pings_pm,KR EMERALD-PLATINUM,adjacent,0.22702294056015315,0.15602262626856148,0.3045826398525648,0.03900579792977901,adjacent_nine_signals,-8.230883680298499,-6.230883680298499,5.8764672441e-9,5.8764672441e-7
command_pings_pm,KR DIAMOND-EMERALD,adjacent,0.2957900086511791,0.21201510065396872,0.37900121413410565,0.0414401859544721,adjacent_nine_signals,-12.022891139373755,-9.947344177981224,9.4865622448e-13,1.1289009071e-10
command_pings_pm,KR BRONZE,local_change,0.12199124534818573,0.0313801969634889,0.21928233686807874,0.04761124989226499,local_change_nine_signals,-1.9829637199494512,0.0,1.0400070422e-2,1.0000000000e+0
command_pings_pm,KR SILVER,local_change,-0.09223152706626458,-0.19707295466822045,0.0009945901688652732,0.05268196762738195,local_change_nine_signals,-1.0969444696215256,0.0,7.9993653109e-2,1.0000000000e+0
command_pings_pm,KR GOLD,local_change,-0.027306856003075808,-0.13890780305298928,0.09318211748942883,0.06163080489559396,local_change_nine_signals,-0.18196292325901542,0.0,6.5771398555e-1,1.0000000000e+0
command_pings_pm,KR PLATINUM,local_change,-0.060798380852993716,-0.18328560840756575,0.0682947562179205,0.06589617341939509,local_change_nine_signals,-0.44831174932667983,0.0,3.5619535415e-1,1.0000000000e+0
command_pings_pm,KR EMERALD,local_change,0.06876706809102595,-0.07019180631826778,0.20055410264227594,0.06951647035297535,local_change_nine_signals,-0.4913953886057437,0.0,3.2255561869e-1,1.0000000000e+0
command_pings_pm,KR-NA Diamond-Iron,between_region_endpoint,0.913936260437243,0.828212529868109,1.00286137521523,0.04623814258261736,between_region_endpoint_nine_signals,-86.23209371055354,-84.8341537018815,5.8601170330e-87,1.4650292583e-85
command_pings_pm,KR-EUW Diamond-Iron,between_region_endpoint,0.8492779352287427,0.7632501193989045,0.9391586864985374,0.04646700588614862,between_region_endpoint_nine_signals,-73.89909549389876,-72.53736765788116,1.2615501109e-74,2.9015652550e-73
command_pings_pm,EUW-NA Diamond-Iron,between_region_endpoint,0.06465832520849979,-0.014460857830359674,0.1413043350694331,0.04057087843267438,between_region_endpoint_nine_signals,-0.9546754840727133,-0.47755422935305086,1.1100039287e-1,3.3300117862e-1
need_vision_pings_pm,NA Diamond-Iron,endpoint,0.03832168494498786,0.032383609361163135,0.04479636504303707,0.003266565571807453,endpoint_nine_signals,-31.056028541419348,-30.277877291035704,8.7896475021e-32,5.2737885012e-31
need_vision_pings_pm,NA BRONZE-IRON,adjacent,0.014423866043885333,0.007276482709359444,0.023584644541851774,0.003951259649017571,adjacent_nine_signals,-3.5820572648643534,-1.7827167154107717,2.6178378046e-4,1.6492378169e-2
need_vision_pings_pm,NA SILVER-BRONZE,adjacent,-0.006050470961231638,-0.014564542602784445,0.0010852587693330833,0.003810879075003542,adjacent_nine_signals,-0.9493965462129892,0.0,1.1235785867e-1,1.0000000000e+0
need_vision_pings_pm,NA GOLD-SILVER,adjacent,0.004838005049770083,-0.0003253022577800638,0.009738930500491256,0.0026656124874819337,adjacent_nine_signals,-1.1578364225429028,0.0,6.9528614851e-2,1.0000000000e+0
need_vision_pings_pm,NA PLATINUM-GOLD,adjacent,0.0023963996863839987,-0.0031773611260773856,0.008140329597838974,0.002978803853060769,adjacent_nine_signals,-0.3755966338400113,0.0,4.2111757445e-1,1.0000000000e+0
need_vision_pings_pm,NA EMERALD-PLATINUM,adjacent,0.012920595326006354,0.007023062787080828,0.01926653006432887,0.003198227211134002,adjacent_nine_signals,-4.271902064011415,-2.4458272613105883,5.3468492043e-5,3.5823889669e-3
need_vision_pings_pm,NA DIAMOND-EMERALD,adjacent,0.00979328980017373,0.002943919844449354,0.016423641055420116,0.0034242938001945405,adjacent_nine_signals,-2.3729258348894153,-0.6916845975138282,4.2371531836e-3,2.0338335281e-1
need_vision_pings_pm,NA BRONZE,local_change,-0.02047433700511697,-0.037067319427584136,-0.007535613806718845,0.007281935118352178,local_change_nine_signals,-2.3072734922674742,-0.2173683808280762,4.9286333084e-3,6.0622189693e-1
need_vision_pings_pm,NA SILVER,local_change,0.010888476011001721,0.00039096655936942504,0.021244948922171453,0.005272548771083647,local_change_nine_signals,-1.4099264068174286,0.0,3.8911107606e-2,1.0000000000e+0
need_vision_pings_pm,NA GOLD,local_change,-0.0024416053633860846,-0.012256986924570874,0.006553125677612187,0.004910841072230446,local_change_nine_signals,-0.2082691309909884,0.0,6.1905732821e-1,1.0000000000e+0
need_vision_pings_pm,NA PLATINUM,local_change,0.010524195639622355,7.699990038194902e-05,0.020958887641031734,0.005359969247415738,local_change_nine_signals,-1.3046027705369942,0.0,4.9590356393e-2,1.0000000000e+0
need_vision_pings_pm,NA EMERALD,local_change,-0.0031273055258326243,-0.014145778447997215,0.007279657738521903,0.00571335691577914,local_change_nine_signals,-0.233493222597899,0.0,5.8412632263e-1,1.0000000000e+0
need_vision_pings_pm,EUW Diamond-Iron,endpoint,0.024885578367215944,0.01690979460856336,0.03191878848701998,0.003839300966746946,endpoint_nine_signals,-10.042703353473929,-9.565582098754266,9.0635147639e-11,2.7190544292e-10
need_vision_pings_pm,EUW BRONZE-IRON,adjacent,0.0016131875241919835,-0.005225255778407753,0.008378600343911415,0.003420533827443011,adjacent_nine_signals,-0.19572490295273048,0.0,6.3719901685e-1,1.0000000000e+0
need_vision_pings_pm,EUW SILVER-BRONZE,adjacent,-0.005435569035131052,-0.011355852969497947,0.0006999350933491249,0.0031182478485989947,adjacent_nine_signals,-1.089868430707678,0.0,8.1307680006e-2,1.0000000000e+0
need_vision_pings_pm,EUW GOLD-SILVER,adjacent,0.006920333295878364,7.309310429232217e-05,0.014508297707761136,0.003698881359344926,adjacent_nine_signals,-1.212147639715829,0.0,6.1355339039e-2,1.0000000000e+0
need_vision_pings_pm,EUW PLATINUM-GOLD,adjacent,0.0008936463913792603,-0.007404271646509637,0.008600349873619496,0.0038875426276650965,adjacent_nine_signals,-0.08714615285880829,0.0,8.1818939702e-1,1.0000000000e+0
need_vision_pings_pm,EUW EMERALD-PLATINUM,adjacent,0.003493205732910995,-0.002864865458937461,0.00951857079243928,0.0033221589802362042,adjacent_nine_signals,-0.5330802833902932,0.0,2.9303514923e-1,1.0000000000e+0
