measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,KR-NA,1,-0.654452479461141,-1.1098263355169609,0.4553738560558198,descriptive; no pointwise inference
maintenance,KR-NA,23,-0.0833432712752007,-0.3949170053273567,0.311573734052156,descriptive; no pointwise inference
maintenance,KR-NA,24,-0.073723753944371,-0.3857799750093061,0.3120562210649351,descriptive; no pointwise inference
maintenance,KR-NA,25,-0.0633310462897923,-0.3769407903095514,0.3136097440197591,descriptive; no pointwise inference
maintenance,KR-NA,26,-0.05381226757087,-0.3680151921388641,0.314202924567994,descriptive; no pointwise inference
maintenance,KR-NA,27,-0.0438785475880196,-0.3591777974397846,0.3152992498517649,descriptive; no pointwise inference
maintenance,KR-NA,28,-0.0342852865035364,-0.3509146439068786,0.3166293574033422,descriptive; no pointwise inference
maintenance,KR-NA,29,-0.0249706095300166,-0.3425606109290072,0.3175900013989906,descriptive; no pointwise inference
maintenance,KR-NA,30,-0.0156908840997174,-0.3342681151478928,0.3185772310481753,descriptive; no pointwise inference
maintenance,KR-NA,31,-0.0056059232548978,-0.3260785220173939,0.3204725987624961,descriptive; no pointwise inference
maintenance,KR-NA,32,0.0028359421280438,-0.3182641292897904,0.3211000714178343,descriptive; no pointwise inference
maintenance,KR-NA,33,0.012254296931947,-0.3096144047343186,0.3218687016662657,descriptive; no pointwise inference
maintenance,KR-NA,34,0.0215187885166968,-0.3012307330102545,0.3227495215269513,descriptive; no pointwise inference
maintenance,KR-NA,35,0.0308081504427114,-0.2927130422082805,0.3235211926509919,descriptive; no pointwise inference
maintenance,KR-NA,36,0.0393465888201801,-0.2854891470392995,0.3248357358594796,descriptive; no pointwise inference
maintenance,KR-NA,37,0.0486280813884364,-0.2782255834864903,0.3268536648749267,descriptive; no pointwise inference
maintenance,KR-NA,38,0.0580128688654281,-0.2707890527140794,0.3288019215795075,descriptive; no pointwise inference
maintenance,KR-NA,39,0.0663702757300735,-0.2634331921750292,0.3298034679051027,descriptive; no pointwise inference
maintenance,KR-NA,40,0.0759287297779929,-0.255791834674589,0.3317205644525819,descriptive; no pointwise inference
maintenance,KR-NA,41,0.0848561426989937,-0.2477222772271737,0.3325784199261674,descriptive; no pointwise inference
maintenance,KR-NA,42,0.0947855134066676,-0.2396940789467724,0.3344795923534401,descriptive; no pointwise inference
maintenance,KR-NA,43,0.1052663728892517,-0.2314175857971952,0.3366839586864469,descriptive; no pointwise inference
maintenance,KR-NA,44,0.1141571615140265,-0.2232278863123085,0.3373850478263351,descriptive; no pointwise inference
maintenance,KR-NA,45,0.1229989565679968,-0.2155009737072317,0.3384999302752287,descriptive; no pointwise inference
maintenance,KR-NA,46,0.1326038330521245,-0.2075706635483376,0.340174496600462,descriptive; no pointwise inference
maintenance,KR-NA,47,0.1420494870697422,-0.199603427291802,0.3416529143615442,descriptive; no pointwise inference
maintenance,KR-NA,48,0.1514015600138047,-0.1921938105478536,0.3435953705616583,descriptive; no pointwise inference
maintenance,KR-NA,49,0.1612922244819344,-0.1843278298363905,0.345620054318325,descriptive; no pointwise inference
maintenance,KR-NA,50,0.170277636179004,-0.1759931904708687,0.3462708266498727,descriptive; no pointwise inference
maintenance,KR-NA,51,0.1801299272194342,-0.1670272087366051,0.3471571359560395,descriptive; no pointwise inference
maintenance,KR-NA,52,0.1901047760212573,-0.1587464682879239,0.3488512443091812,descriptive; no pointwise inference
maintenance,KR-NA,53,0.2012771865676249,-0.1497357564130162,0.3510129429806412,descriptive; no pointwise inference
maintenance,KR-NA,54,0.2121910876489632,-0.1403016334338204,0.3524927210827836,descriptive; no pointwise inference
maintenance,KR-NA,55,0.2221943011817305,-0.1316058453355381,0.3538001465172687,descriptive; no pointwise inference
