measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
overall,NA,-1.040063610877286,1,166,42000,0.003952380952380952
overall,NA,-1.0389952969172451,1,167,42000,0.003976190476190476
overall,NA,-1.0389109259048055,1,168,42000,0.0040000000000000001
overall,NA,-1.036652544925041,1,169,42000,0.0040238095238095241
overall,NA,-1.0364223666770895,1,170,42000,0.0040476190476190473
overall,NA,-1.0359781758613256,1,171,42000,0.0040714285714285713
overall,NA,-1.0359416900547451,1,172,42000,0.0040952380952380954
overall,NA,-1.0358012941017567,1,173,42000,0.0041190476190476194
overall,NA,-1.0355260731824312,1,174,42000,0.0041428571428571426
overall,NA,-1.0338433889776375,1,175,42000,0.0041666666666666666
overall,NA,-1.0335682064680096,1,176,42000,0.0041904761904761906
overall,NA,-1.030601599075267,1,177,42000,0.0042142857142857147
overall,NA,-1.0298359853096062,1,178,42000,0.0042380952380952379
overall,NA,-1.0292527536470897,1,179,42000,0.0042619047619047619
overall,NA,-1.02864271906583,1,180,42000,0.0042857142857142859
overall,NA,-1.0277438432161428,1,181,42000,0.0043095238095238091
overall,NA,-1.026761282998947,1,182,42000,0.0043333333333333331
overall,NA,-1.0265604888680282,1,183,42000,0.0043571428571428572
overall,NA,-1.0235171765598596,1,184,42000,0.0043809523809523812
overall,NA,-1.0229985799973726,1,185,42000,0.0044047619047619044
overall,NA,-1.0216047415306706,1,186,42000,0.0044285714285714284
overall,NA,-1.0212517557501888,1,187,42000,0.0044523809523809525
overall,NA,-1.020946634416202,1,188,42000,0.0044761904761904765
overall,NA,-1.0203486009050275,1,189,42000,0.0044999999999999997
overall,NA,-1.0202614803081629,1,190,42000,0.0045238095238095237
overall,NA,-1.0195525858332992,1,191,42000,0.0045476190476190477
overall,NA,-1.0194145440667268,1,192,42000,0.0045714285714285718
overall,NA,-1.0193591430850133,1,193,42000,0.0045952380952380949
overall,NA,-1.0190215004516463,1,194,42000,0.004619047619047619
overall,NA,-1.0189792990824569,1,195,42000,0.004642857142857143
overall,NA,-1.0189557810469287,1,196,42000,0.0046666666666666671
overall,NA,-1.018626897028451,1,197,42000,0.0046904761904761902
overall,NA,-1.0181658550662698,1,198,42000,0.0047142857142857143
overall,NA,-1.0175685311972231,1,199,42000,0.0047380952380952383
overall,NA,-1.0169139483043554,1,200,42000,0.0047619047619047623
overall,NA,-1.0165699501020438,1,201,42000,0.0047857142857142855
overall,NA,-1.0159782974009794,1,202,42000,0.0048095238095238095
overall,NA,-1.015600749561686,1,203,42000,0.0048333333333333336
overall,NA,-1.0154756953226494,1,204,42000,0.0048571428571428567
overall,NA,-1.0154337387898198,1,205,42000,0.0048809523809523808
overall,NA,-1.0138419578828928,1,206,42000,0.0049047619047619048
overall,NA,-1.0136298977304583,1,207,42000,0.0049285714285714289
overall,NA,-1.0132413421025843,1,208,42000,0.004952380952380952
overall,NA,-1.0130859818912592,1,209,42000,0.0049761904761904761
overall,NA,-1.0122897907505106,1,210,42000,0.0050000000000000001
overall,NA,-1.011637149740642,1,211,42000,0.0050238095238095241
overall,NA,-1.011336454439039,1,212,42000,0.0050476190476190473
overall,NA,-1.011167089246777,1,213,42000,0.0050714285714285713
overall,NA,-1.0104353244714872,1,214,42000,0.0050952380952380954
overall,NA,-1.0102938741807082,1,215,42000,0.0051190476190476194
overall,NA,-1.0090266281058515,1,216,42000,0.0051428571428571426
overall,NA,-1.0086252255248205,1,217,42000,0.0051666666666666666
overall,NA,-1.0083607943610322,1,218,42000,0.0051904761904761907
overall,NA,-1.0075216204825672,1,219,42000,0.0052142857142857147
overall,NA,-1.006722767773228,1,220,42000,0.0052380952380952379
overall,NA,-1.006374803762916,1,221,42000,0.0052619047619047619
overall,NA,-1.005686551179484,1,222,42000,0.0052857142857142859
overall,NA,-1.0054824797498152,1,223,42000,0.0053095238095238091
overall,NA,-1.0048643268061388,1,224,42000,0.0053333333333333332
overall,NA,-1.0046931124932128,1,225,42000,0.0053571428571428572
overall,NA,-1.0040666493541153,1,226,42000,0.0053809523809523812
overall,NA,-1.003359348212786,1,227,42000,0.0054047619047619044
overall,NA,-1.001670115705671,1,228,42000,0.0054285714285714284
overall,NA,-1.0007814111801092,1,229,42000,0.0054523809523809525
overall,NA,-1.0003073841379566,1,230,42000,0.0054761904761904765
overall,NA,-1.0001365370021889,1,231,42000,0.0054999999999999997
overall,NA,-0.9996371695519148,1,232,42000,0.0055238095238095237
overall,NA,-0.9986564431626868,1,233,42000,0.0055476190476190478
overall,NA,-0.9982107418200112,1,234,42000,0.0055714285714285718
overall,NA,-0.9981095736041375,1,235,42000,0.005595238095238095
overall,NA,-0.9977684891430176,1,236,42000,0.005619047619047619
overall,NA,-0.997136391459094,1,237,42000,0.005642857142857143
overall,NA,-0.9969124349279872,1,238,42000,0.0056666666666666671
overall,NA,-0.9964368343171144,1,239,42000,0.0056904761904761902
overall,NA,-0.9963566804310232,1,240,42000,0.0057142857142857143
overall,NA,-0.9947949647640496,1,241,42000,0.0057380952380952383
overall,NA,-0.9943978436250048,1,242,42000,0.0057619047619047615
overall,NA,-0.992769081076359,1,243,42000,0.0057857142857142855
overall,NA,-0.9915205909337794,1,244,42000,0.0058095238095238096
overall,NA,-0.990907615816106,1,245,42000,0.0058333333333333336
overall,NA,-0.9906294655180016,1,246,42000,0.0058571428571428568
overall,NA,-0.9890714129155964,1,247,42000,0.0058809523809523808
overall,NA,-0.9882781376170424,1,248,42000,0.0059047619047619048
overall,NA,-0.9881692643889204,1,249,42000,0.0059285714285714289
overall,NA,-0.9880231746422478,1,250,42000,0.0059523809523809521
overall,NA,-0.98710553811787,1,251,42000,0.0059761904761904761
overall,NA,-0.9864432532169134,1,252,42000,0.0060000000000000001
overall,NA,-0.985721471562142,1,253,42000,0.0060238095238095242
overall,NA,-0.9852818457988692,1,254,42000,0.0060476190476190473
overall,NA,-0.9851976996642048,1,255,42000,0.0060714285714285714
overall,NA,-0.9849701688314632,1,256,42000,0.0060952380952380954
overall,NA,-0.9848591842213668,1,257,42000,0.0061190476190476194
overall,NA,-0.9845249490744148,1,258,42000,0.0061428571428571426
overall,NA,-0.9839771045375318,1,259,42000,0.0061666666666666667
overall,NA,-0.9836990966431028,1,260,42000,0.0061904761904761907
overall,NA,-0.982930971224073,1,261,42000,0.0062142857142857139
overall,NA,-0.9828409182543334,1,262,42000,0.0062380952380952379
overall,NA,-0.9823682666210554,1,263,42000,0.0062619047619047619
overall,NA,-0.9817793575433108,1,264,42000,0.006285714285714286
overall,NA,-0.9808575009796788,1,265,42000,0.0063095238095238091
overall,NA,-0.980590975541228,1,266,42000,0.0063333333333333332
overall,NA,-0.9798482750703296,1,267,42000,0.0063571428571428572
overall,NA,-0.9792153514795086,1,268,42000,0.0063809523809523813
overall,NA,-0.9789381744173172,1,269,42000,0.0064047619047619044
overall,NA,-0.9788602894293268,1,270,42000,0.0064285714285714285
overall,NA,-0.9786900023512926,1,271,42000,0.0064523809523809525
overall,NA,-0.978674566233294,1,272,42000,0.0064761904761904765
overall,NA,-0.978429509672333,1,273,42000,0.0064999999999999997
overall,NA,-0.9782950399046846,1,274,42000,0.0065238095238095237
overall,NA,-0.9782416265241451,1,275,42000,0.0065476190476190478
overall,NA,-0.9772813936179932,1,276,42000,0.0065714285714285718
overall,NA,-0.977258706261803,1,277,42000,0.006595238095238095
overall,NA,-0.9771395425597564,1,278,42000,0.006619047619047619
overall,NA,-0.97658882995857,1,279,42000,0.0066428571428571431
overall,NA,-0.976493054706568,1,280,42000,0.0066666666666666671
overall,NA,-0.976379650128119,1,281,42000,0.0066904761904761903
