measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
signalling,NA,-1.2004843600627806,1,346,42000,0.0082380952380952388
signalling,NA,-1.1996323302236054,1,347,42000,0.008261904761904762
signalling,NA,-1.198882240100845,1,348,42000,0.0082857142857142851
signalling,NA,-1.1981458317480342,1,349,42000,0.00830952380952381
signalling,NA,-1.197060359921866,1,350,42000,0.0083333333333333332
signalling,NA,-1.1969487333335176,1,351,42000,0.0083571428571428564
signalling,NA,-1.1968338097375135,1,352,42000,0.0083809523809523813
signalling,NA,-1.1968033628845076,1,353,42000,0.0084047619047619045
signalling,NA,-1.195930972199375,1,354,42000,0.0084285714285714294
signalling,NA,-1.1956522156041436,1,355,42000,0.0084523809523809525
signalling,NA,-1.195451681092201,1,356,42000,0.0084761904761904757
signalling,NA,-1.19525871885086,1,357,42000,0.0085000000000000006
signalling,NA,-1.1950019377128085,1,358,42000,0.0085238095238095238
signalling,NA,-1.194985510500182,1,359,42000,0.008547619047619047
signalling,NA,-1.194951967945685,1,360,42000,0.0085714285714285719
signalling,NA,-1.1946785605230816,1,361,42000,0.008595238095238095
signalling,NA,-1.1945011185976342,1,362,42000,0.0086190476190476182
signalling,NA,-1.194375887507362,1,363,42000,0.0086428571428571431
signalling,NA,-1.194364657893014,1,364,42000,0.0086666666666666663
signalling,NA,-1.1943286120319778,1,365,42000,0.0086904761904761912
signalling,NA,-1.193919295699693,1,366,42000,0.0087142857142857143
signalling,NA,-1.1938380537781033,1,367,42000,0.0087380952380952375
signalling,NA,-1.1925200593494274,1,368,42000,0.0087619047619047624
signalling,NA,-1.1919725338155702,1,369,42000,0.0087857142857142856
signalling,NA,-1.1912261582560613,1,370,42000,0.0088095238095238088
signalling,NA,-1.191027893500522,1,371,42000,0.0088333333333333337
signalling,NA,-1.1909248408178188,1,372,42000,0.0088571428571428568
signalling,NA,-1.1909081598375353,1,373,42000,0.0088809523809523817
signalling,NA,-1.1906365698382697,1,374,42000,0.0089047619047619049
signalling,NA,-1.190423465755084,1,375,42000,0.0089285714285714281
signalling,NA,-1.1901687949981716,1,376,42000,0.008952380952380953
signalling,NA,-1.1898414145502303,1,377,42000,0.0089761904761904762
signalling,NA,-1.189689854933124,1,378,42000,0.0089999999999999993
signalling,NA,-1.1894879365642332,1,379,42000,0.0090238095238095242
signalling,NA,-1.189351654789062,1,380,42000,0.0090476190476190474
signalling,NA,-1.1886546117471144,1,381,42000,0.0090714285714285706
signalling,NA,-1.1886503020725467,1,382,42000,0.0090952380952380955
signalling,NA,-1.187696770067972,1,383,42000,0.0091190476190476186
signalling,NA,-1.1871881533950217,1,384,42000,0.0091428571428571435
signalling,NA,-1.186264573906133,1,385,42000,0.0091666666666666667
signalling,NA,-1.1860591114448624,1,386,42000,0.0091904761904761899
signalling,NA,-1.1854252676582766,1,387,42000,0.0092142857142857148
signalling,NA,-1.1852023250443546,1,388,42000,0.009238095238095238
signalling,NA,-1.1852016273747126,1,389,42000,0.0092619047619047611
signalling,NA,-1.184903683180394,1,390,42000,0.009285714285714286
signalling,NA,-1.1848739614394808,1,391,42000,0.0093095238095238092
signalling,NA,-1.1844921533440207,1,392,42000,0.0093333333333333341
signalling,NA,-1.1839390286694826,1,393,42000,0.0093571428571428573
signalling,NA,-1.1838384481035986,1,394,42000,0.0093809523809523804
signalling,NA,-1.1834301968755847,1,395,42000,0.0094047619047619054
signalling,NA,-1.182748050272341,1,396,42000,0.0094285714285714285
signalling,NA,-1.1825016697190758,1,397,42000,0.0094523809523809517
signalling,NA,-1.1820364335706668,1,398,42000,0.0094761904761904766
signalling,NA,-1.181868521772493,1,399,42000,0.0094999999999999998
signalling,NA,-1.1813727451898637,1,400,42000,0.0095238095238095247
signalling,NA,-1.1809464684889197,1,401,42000,0.0095476190476190478
signalling,NA,-1.1808313960688104,1,402,42000,0.009571428571428571
signalling,NA,-1.1800576623051031,1,403,42000,0.0095952380952380959
signalling,NA,-1.179994819309336,1,404,42000,0.0096190476190476191
signalling,NA,-1.179871728898744,1,405,42000,0.0096428571428571423
signalling,NA,-1.1795050190395406,1,406,42000,0.0096666666666666672
signalling,NA,-1.1793038696405118,1,407,42000,0.0096904761904761903
signalling,NA,-1.1786173410020624,1,408,42000,0.0097142857142857135
signalling,NA,-1.1779389308999997,1,409,42000,0.0097380952380952384
signalling,NA,-1.1775708157359204,1,410,42000,0.0097619047619047616
signalling,NA,-1.1775567808550396,1,411,42000,0.0097857142857142865
