region,display_region_linear,maintenance_difference_sd,model_predictor_z_linear,probability_linear,ci_low_linear,ci_high_linear,se_linear,n_model_matches_linear,n_reference_matches_linear,method_linear,specification_linear,display_region_spline,model_predictor_z_spline,probability_spline,ci_low_spline,ci_high_spline,se_spline,n_model_matches_spline,n_reference_matches_spline,method_spline,specification_spline,difference_percentage_points
NA,NA,0.25,0.2923910534060775,0.4957530376992186,0.4946101288922435,0.4968959465061937,0.0005831167382526,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.2923910534060775,0.4965100344325766,0.4948456878618474,0.4981743810033057,0.0008491564136372,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0756996733357995
NA,NA,0.3000000000000002,0.3423910534060778,0.4967008613376978,0.4955420616366761,0.4978596610387195,0.0005912243372559,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.3423910534060778,0.4975274908605213,0.4958092363349474,0.4992457453860952,0.0008766604722315,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0826629522823474
NA,NA,0.3500000000000001,0.3923910534060776,0.497648704655052,0.4964717503810404,0.4988256589290636,0.0006004868744957,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.3923910534060776,0.4985324985246372,0.496765004824787,0.5002999922244875,0.0009017824999235,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0883793869585203
NA,NA,0.4000000000000003,0.4423910534060778,0.498596561447278,0.4973992923306882,0.4997938305638677,0.0006108515900967,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.4423910534060778,0.4995241519155854,0.4977147758878464,0.5013335279433244,0.0009231510345607,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0927590468307426
NA,NA,0.4500000000000002,0.4923910534060777,0.4995444255101324,0.4983247898431461,0.5007640611771187,0.0006222630954011,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.4923910534060777,0.5005028498103786,0.4986598795198377,0.5023458201009195,0.0009402909645617,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.095842430024623
NA,NA,0.5,0.5423910534060775,0.500492290639256,0.4992483481716709,0.5017362331068412,0.0006346645242781,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.5423910534060775,0.501469121238069,0.4996010933544651,0.5033371491216728,0.0009530754508183,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0976830598812927
NA,NA,0.5500000000000003,0.5923910534060778,0.501440150630329,0.5001700734601155,0.5027102278005424,0.0006479985562313,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.5923910534060778,0.5024234957270473,0.500538756642941,0.5043082348111535,0.0009616015735235,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0983345096718268
NA,NA,0.6000000000000001,0.6423910534060776,0.5023879992792056,0.5010900710291759,0.5036859275292354,0.0006622082908315,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.6423910534060776,0.5033665032536794,0.5014728588261135,0.5052601476812453,0.000966145116105,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0978503974473743
NA,NA,0.6500000000000004,0.6923910534060779,0.5033358303820689,0.5020084439681172,0.5046632167960206,0.0006772379663018,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.6923910534060779,0.5042986741937721,0.5024030972672147,0.5061942511203295,0.0009671310849782,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0962843811703195
NA,NA,0.7000000000000002,0.7423910534060777,0.5042836377355573,0.5029252920257669,0.5056419834453477,0.0006930335254032,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.7423910534060777,0.5052205392766154,0.5033289142655479,0.5071121642876828,0.0009651148015649,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0936901541058077
