measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,EUW-NA,1,-1.0983014803976183,-1.1098263355169609,0.0115248551193425,descriptive; no pointwise inference
maintenance,EUW-NA,41,-0.2204010828397192,-0.2477222772271737,0.0273211943874544,descriptive; no pointwise inference
maintenance,EUW-NA,42,-0.2120970964357437,-0.2396940789467724,0.0275969825110287,descriptive; no pointwise inference
maintenance,EUW-NA,43,-0.2043590239267217,-0.2314175857971952,0.0270585618704735,descriptive; no pointwise inference
maintenance,EUW-NA,44,-0.1968719873955381,-0.2232278863123085,0.0263558989167704,descriptive; no pointwise inference
maintenance,EUW-NA,45,-0.1887183351013746,-0.2155009737072317,0.0267826386058571,descriptive; no pointwise inference
maintenance,EUW-NA,46,-0.1798697353955672,-0.2075706635483376,0.0277009281527703,descriptive; no pointwise inference
maintenance,EUW-NA,47,-0.1717144481888831,-0.199603427291802,0.0278889791029189,descriptive; no pointwise inference
maintenance,EUW-NA,48,-0.1634996664333692,-0.1921938105478536,0.0286941441144844,descriptive; no pointwise inference
maintenance,EUW-NA,49,-0.1545268193178141,-0.1843278298363905,0.0298010105185763,descriptive; no pointwise inference
maintenance,EUW-NA,50,-0.1462332224620858,-0.1759931904708687,0.0297599680087828,descriptive; no pointwise inference
maintenance,EUW-NA,51,-0.1371405650520771,-0.1670272087366051,0.029886643684528,descriptive; no pointwise inference
maintenance,EUW-NA,52,-0.1288771690954739,-0.1587464682879239,0.0298692991924499,descriptive; no pointwise inference
maintenance,EUW-NA,53,-0.120438650727755,-0.1497357564130162,0.0292971056852611,descriptive; no pointwise inference
maintenance,EUW-NA,54,-0.1120719173306206,-0.1403016334338204,0.0282297161031997,descriptive; no pointwise inference
maintenance,EUW-NA,55,-0.1033433347054032,-0.1316058453355381,0.0282625106301349,descriptive; no pointwise inference
maintenance,EUW-NA,56,-0.0944693438626123,-0.1223509286253654,0.0278815847627531,descriptive; no pointwise inference
maintenance,EUW-NA,57,-0.084865048016858,-0.1130814293810484,0.0282163813641903,descriptive; no pointwise inference
maintenance,EUW-NA,58,-0.0750129970765506,-0.1038508029247913,0.0288378058482407,descriptive; no pointwise inference
maintenance,EUW-NA,59,-0.0657396087239427,-0.0953440376837433,0.0296044289598006,descriptive; no pointwise inference
maintenance,EUW-NA,60,-0.056676262159192,-0.0864996936863382,0.0298234315271461,descriptive; no pointwise inference
maintenance,EUW-NA,61,-0.0462681411457641,-0.0771691363837455,0.0309009952379813,descriptive; no pointwise inference
maintenance,EUW-NA,62,-0.0363251124067162,-0.068369360446328,0.0320442480396118,descriptive; no pointwise inference
maintenance,EUW-NA,63,-0.0262049514878205,-0.0590529797785118,0.0328480282906913,descriptive; no pointwise inference
maintenance,EUW-NA,64,-0.0165294019092915,-0.0493716017962069,0.0328421998869154,descriptive; no pointwise inference
maintenance,EUW-NA,65,-0.0067854217586221,-0.0401535627836449,0.0333681410250228,descriptive; no pointwise inference
maintenance,EUW-NA,66,0.0040661327663513,-0.0297489537589152,0.0338150865252666,descriptive; no pointwise inference
maintenance,EUW-NA,67,0.0151542064460243,-0.0196145087155441,0.0347687151615684,descriptive; no pointwise inference
maintenance,EUW-NA,68,0.0262193679193098,-0.0084323115656879,0.0346516794849978,descriptive; no pointwise inference
maintenance,EUW-NA,69,0.03779228725262,0.0020497894601879,0.035742497792432,descriptive; no pointwise inference
maintenance,EUW-NA,70,0.0494308121938881,0.0134722914062876,0.0359585207876004,descriptive; no pointwise inference
maintenance,EUW-NA,71,0.0611520793822274,0.0244594166943053,0.036692662687922,descriptive; no pointwise inference
maintenance,EUW-NA,72,0.0735200772236074,0.036249764059152,0.0372703131644554,descriptive; no pointwise inference
maintenance,EUW-NA,73,0.0863414816299038,0.0477070715423832,0.0386344100875205,descriptive; no pointwise inference
maintenance,EUW-NA,74,0.0988657045465905,0.0598715283334817,0.0389941762131087,descriptive; no pointwise inference
maintenance,EUW-NA,75,0.1120813717196212,0.0716722426793017,0.0404091290403194,descriptive; no pointwise inference
maintenance,EUW-NA,76,0.1271516435844054,0.0844442780530691,0.0427073655313362,descriptive; no pointwise inference
maintenance,EUW-NA,77,0.1419029804173382,0.0974242408275315,0.0444787395898067,descriptive; no pointwise inference
maintenance,EUW-NA,78,0.1555993608845514,0.1119020725524575,0.0436972883320938,descriptive; no pointwise inference
maintenance,EUW-NA,79,0.1704519015498034,0.1267171969458009,0.0437347046040024,descriptive; no pointwise inference
maintenance,EUW-NA,80,0.1868164272999632,0.1407310846130679,0.0460853426868952,descriptive; no pointwise inference
maintenance,EUW-NA,81,0.203612568111092,0.1559058695001863,0.0477066986109056,descriptive; no pointwise inference
maintenance,EUW-NA,82,0.2210762591758782,0.1713482886622277,0.0497279705136504,descriptive; no pointwise inference
maintenance,EUW-NA,83,0.2389265109366858,0.1865197195639344,0.0524067913727513,descriptive; no pointwise inference
maintenance,EUW-NA,84,0.258866750598947,0.2032994811986156,0.0555672694003313,descriptive; no pointwise inference
maintenance,EUW-NA,85,0.2800972939527861,0.2224148013092936,0.0576824926434924,descriptive; no pointwise inference
maintenance,EUW-NA,86,0.3020387102668525,0.2424454712174067,0.0595932390494458,descriptive; no pointwise inference
maintenance,EUW-NA,87,0.3247776416398243,0.2660517826620779,0.0587258589777464,descriptive; no pointwise inference
maintenance,EUW-NA,88,0.3501732500509817,0.288525824613106,0.0616474254378757,descriptive; no pointwise inference
maintenance,EUW-NA,89,0.3784250274281568,0.3115731391117969,0.0668518883163599,descriptive; no pointwise inference
maintenance,EUW-NA,90,0.4090132732348309,0.339238330068442,0.0697749431663888,descriptive; no pointwise inference
maintenance,EUW-NA,91,0.4439394329839013,0.3709756043095647,0.0729638286743366,descriptive; no pointwise inference
maintenance,EUW-NA,92,0.4866186473207807,0.4049945202601891,0.0816241270605916,descriptive; no pointwise inference
maintenance,EUW-NA,93,0.5341541151081731,0.4459586965321864,0.0881954185759866,descriptive; no pointwise inference
maintenance,EUW-NA,94,0.5897720790240208,0.4916821698369596,0.0980899091870612,descriptive; no pointwise inference
maintenance,EUW-NA,95,0.6579688118100574,0.5429298317104095,0.1150389800996478,descriptive; no pointwise inference
maintenance,EUW-NA,96,0.7418349835974044,0.6159097256776486,0.1259252579197558,descriptive; no pointwise inference
maintenance,EUW-NA,97,0.8404272200924786,0.7008912350072217,0.1395359850852569,descriptive; no pointwise inference
maintenance,EUW-NA,98,0.9691222861984315,0.8258295594485359,0.1432927267498958,descriptive; no pointwise inference
maintenance,EUW-NA,99,1.184391082240131,1.0409687089336537,0.1434223733064774,descriptive; no pointwise inference
signalling,EUW-NA,1,-1.117220119407166,-1.1749559317009026,0.0577358122937365,descriptive; no pointwise inference
signalling,EUW-NA,2,-1.0293775133659853,-1.0871981302191331,0.0578206168531478,descriptive; no pointwise inference
signalling,EUW-NA,3,-0.9707453151541696,-1.0275796256656673,0.0568343105114975,descriptive; no pointwise inference
signalling,EUW-NA,4,-0.927433544257789,-0.9835919557657364,0.0561584115079473,descriptive; no pointwise inference
signalling,EUW-NA,5,-0.8915870785380525,-0.943670668263026,0.0520835897249736,descriptive; no pointwise inference
signalling,EUW-NA,6,-0.8604655777912515,-0.913430043350855,0.0529644655596034,descriptive; no pointwise inference
signalling,EUW-NA,7,-0.8312390825935286,-0.8867153926342614,0.0554763100407327,descriptive; no pointwise inference
